brand_parent,model_parent,variant_parent,variant_name,price,displacement,power,transmission,mileage,fuel,engine_typr,cylinders,valves_per_cyl,gearbox,drive,fuel_cap,emission_norm,suspension_front,suspension_rear,steer_type,steer_col,turn_radius,brake_front,breake_rear,length,width,height,boot_cap,seat_cap,ground_cl,wheelbase,kerb_weight,gross_weight,doors,park_sensors,upholstery,radio_antenna,tyre_size,tyre_type,wheel_size,airbags,screen_size,connectivity,image-src,ncap_rating,ev_range,ev_battery_cap,ev_motor,ev_charge,ev_drag_coeff,zero_to_hundred,speakers,auto_park,ev_charge_time_dc,ev_charge_time_ac,ev_brake_regen_levels,ev_norm
Porsche,Porsche Taycan,Taycan 4S Cross Turismo,Porsche Taycan 4S Cross Turismo,Rs.1.82 Cr*Get On-Road Price*Ex-showroom Price in Pune,,482.76 bhp,,,Electric,,,,2-Speed,AWD,,ZEV,Adaptive air suspension,Adaptive air suspension,,Adjustable,12m,ventilated disc,ventilated disc,4974 mm,2144 mm,1395 mm,446 Litres,5,,2430 mm,2245 kg,2885 kg,5,Front & Rear,,,,"Tubeless,Radial","Tubeless,Radial Inch",No. of Airbags,10.9,,,,388–452 km,93.4 kWh,,CCS-II,0.22,4.1sec,21,Semi,,,,ZEV
Porsche,Porsche Taycan,Taycan 4S,Porsche Taycan 4S,Rs.1.75 Cr*Get On-Road Price*Ex-showroom Price in Pune,,482.76 bhp,,,Electric,,,,2-Speed,AWD,,ZEV,Adaptive air suspension,Adaptive air suspension,,Adjustable,12m,ventilated disc,ventilated disc,4974 mm,2144 mm,1395 mm,446 Litres,5,,2675 mm,2245 kg,2880 kg,5,Front & Rear,,,,"Tubeless,Radial","Tubeless,Radial Inch",No. of Airbags,10.9,,,,388–452 km,93.4 kWh,,CCS-II,0.22,4.0sec,21,Semi,,,,ZEV
Porsche,Porsche Taycan,Taycan Standard,Porsche Taycan Standard,Rs.1.61 Cr*Get On-Road Price*Ex-showroom Price in Pune,,321.84 bhp,,,Electric,,,,2-Speed,RWD,,ZEV,Adaptive air suspension,Adaptive air suspension,,Adjustable,11.7,ventilated disc,ventilated disc,4963 mm,2144 mm,1395 mm,446 Litres,5,,2900 mm,2220 kg,2795 kg,4,Front & Rear,,,225/55 R 19,"Tubeless,Radial",,,10.9,,,,354–431 km,79.2 kw kWh,,CCS-II,0.22,5.4sec,21,Semi,,,,ZEV
Porsche,Porsche Macan EV,Macan EV Turbo,Porsche Macan EV Turbo,Rs.1.65 Cr*Get On-Road Price*Ex-showroom Price in Pune,,630.28 bhp,,,Electric,,,,1-Speed,AWD,,ZEV,,,,,,,,4784 mm,1938 mm,1622 mm,540 Litres,5,,,,,5,Front & Rear,,,,,,,,,,,,,,,,5.2,,,,,,ZEV
Porsche,Porsche 718,718 Cayman GT4 RS,Porsche 718 Cayman GT4 RS,Rs.2.74 Cr*Get On-Road Price*Ex-showroom Price in Pune,3997 cc,493.49 bhp,Automatic,9.17 kmpl,Petrol,naturally aspirated boxer engine,6,4,7-Speed,RWD,64 Litres,BS VI 2.0,spring-strut suspension,spring-strut suspension,Power,Tilt & Telescopic,11.4 metres,Aluminium monobloc Disc,Aluminium monobloc Disc,4456 mm,1994 mm,1269 mm,150 Litres,2,128 mm,2500 mm,1415 kg,1750 kg,2,,,,"245/35 ZR20, 295/30 ZR20","Tubeless, Radial",,6,7,,,,,,,,0.34,,6,,,,,BS VI 2.0
Porsche,Porsche 718,718 Cayman GT4,Porsche 718 Cayman GT4,Rs.1.82 Cr*Get On-Road Price*Ex-showroom Price in Pune,3995 cc,414.37 bhp,Manual,,Petrol,naturally aspirated boxer engine,6,4,6-Speed,RWD,64 Litres,BS VI 2.0,spring-strut suspension,spring-strut suspension,Power,Tilt & Telescopic,11.4 metres,Aluminium monobloc Disc,Aluminium monobloc Disc,4456 mm,1994 mm,1269 mm,150 Litres,2,128 mm,2500 mm,1420 kg,1750 kg,2,,,,"245/35 ZR20, 295/30 ZR20","Tubeless, Radial",,6,7,,,,,,,,0.34,,6,,,,,BS VI 2.0
Porsche,Porsche 718,718 Spyder,Porsche 718 Spyder,Rs.1.78 Cr*Get On-Road Price*Ex-showroom Price in Pune,3995 cc,414.37 bhp,Automatic,,Petrol,naturally aspirated boxer engine,6,4,6-Speed,RWD,64 Litres,BS VI 2.0,spring-strut suspension,spring-strut suspension,Power,Tilt & Telescopic,,Aluminium monobloc Disc,Aluminium monobloc Disc,4456 mm,1994 mm,1269 mm,275 Litres,2,128 mm,2500 mm,1365 kg,1750 kg,2,,,,"235/45 R18, 265/45 R18","Tubeless, Radial",,6,,,,,,,,,,,6,,,,,BS VI 2.0
Porsche,Porsche 718,718 Boxster GTS,Porsche 718 Boxster GTS,Rs.1.72 Cr*Get On-Road Price*Ex-showroom Price in Pune,3995 cc,394.26 bhp,Manual,,Petrol,4.0L Petrol engine,6,4,6-Speed,RWD,54 Litres,BS VI 2.0,Lightweight spring-strut suspension,Lightweight spring-strut suspension,Power,Tilt & Telescopic,11.0m,ventilated disc,ventilated disc,4379 mm,1801 mm,1281 mm,125 Litres,2,128 mm,2500 mm,1365 kg,1685 kg,2,,,,"235/45R18, 265/45 R18","Tubeless, Radial","Tubeless,Radial Inch",6,,,,,,,,,,,8,,,,,BS VI 2.0
Porsche,Porsche 718,718 Cayman GTS,Porsche 718 Cayman GTS,Rs.1.68 Cr*Get On-Road Price*Ex-showroom Price in Pune,3995 cc,394.26 bhp,Manual,,Petrol,4.0L Petrol engine,6,4,6-Speed,RWD,54 Litres,BS VI 2.0,spring-strut suspension,spring-strut suspension,Power,Tilt & Telescopic,11.0m,Disc,Disc,4379 mm,1801 mm,1295 mm,275 Litres,2,128 mm,2500 mm,1365 kg,1685 kg,2,,,,"235/45R18, 265/45 R18","Tubeless, Radial",,6,,,,,,,,,,,6,,,,,BS VI 2.0
Porsche,Porsche 718,718 Boxster Style Edition,Porsche 718 Boxster Style Edition,Rs.1.60 Cr*Get On-Road Price*Ex-showroom Price in Pune,1988 cc,295.02 bhp,Automatic,,Petrol,2.0L Mid-engine,4,4,6-Speed,RWD,54 Litres,BS VI 2.0,Lightweight spring-strut suspension,Lightweight spring-strut suspension,Power,Tilt & Telescopic,11.0m,ventilated disc,ventilated disc,4379 mm,1801 mm,1281 mm,272 Litres,2,128 mm,2500 mm,1365 kg,1685 kg,2,,,,"235/45R18, 265/45 R18","Tubeless, Radial","Tubeless,Radial Inch",6,,,,,,,,,,,8,,,,,BS VI 2.0
